type,source,overall_accuracy,date,entity,relation,hallucinated,hallucination_type,output
point_in_time,template,0.5889,1.0000,0.7667,0.0000,False,none,"It was December 10, 1903 when won Nobel Prize in Physics."
point_in_time,template,0.9035,1.0000,0.7105,1.0000,False,none,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,template,0.9000,1.0000,0.7000,1.0000,False,none,"The event known as declared independence took place on July 4, 1776."
point_in_time,template,0.5909,1.0000,0.7727,0.0000,False,none,"On July 20, 1969, walked on the Moon."
point_in_time,template,0.9035,1.0000,0.7105,1.0000,False,none,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,template,0.8939,1.0000,0.6818,1.0000,False,none,"It was March 12, 1989 when was invented."
point_in_time,template,0.9222,1.0000,0.7667,1.0000,False,none,"It was November 9, 1989 when fell, ending Cold War."
point_in_time,template,0.9286,1.0000,0.7857,1.0000,False,none,"It was March 11, 2020 when declared COVID-19 pandemic."
point_in_time,template,0.8810,1.0000,0.6429,1.0000,False,none,"docked with ISS happened on May 31, 2020."
point_in_time,template,0.9074,1.0000,0.7222,1.0000,False,none,"The event known as captured first images took place on July 12, 2022."
point_in_time,template,0.9000,1.0000,0.7000,1.0000,False,none,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,template,0.9035,1.0000,0.7105,1.0000,False,none,The event known as began chimpanzee study took place on July 1960.
point_in_time,template,0.8846,1.0000,0.6538,1.0000,False,none,The event known as formulated gravity law took place on 1687.
point_in_time,template,0.9118,1.0000,0.7353,1.0000,False,none,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,template,0.8958,1.0000,0.6875,1.0000,False,none,"The event known as patented telephone took place on March 10, 1876."
point_in_time,template,0.9222,1.0000,0.7667,1.0000,False,none,"It was October 21, 1879 when tested light bulb."
point_in_time,template,0.9000,1.0000,0.7000,1.0000,False,none,The event known as transmitted wireless electricity took place on 1891.
point_in_time,template,0.8889,1.0000,0.6667,1.0000,False,none,"It was May 2, 1952 when captured Photo 51."
