type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_narr_1,template,80.3,11,1.00,1180,False,"It was December 10, 1903 when won Nobel Prize in Physics."
point_in_time,pit_complex_2,template,63.5,13,0.91,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,67.8,12,0.94,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_simple_3,template,100.0,8,1.00,1,False,"On July 20, 1969, walked on the Moon."
point_in_time,pit_complex_2,template,50.5,13,0.80,3,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_narr_1,template,93.0,8,1.00,1,False,"It was March 12, 1989 when was invented."
point_in_time,pit_narr_1,template,86.7,10,1.00,1,False,"It was November 9, 1989 when fell, ending Cold War."
point_in_time,pit_narr_1,template,84.9,9,1.00,1,False,"It was March 11, 2020 when declared COVID-19 pandemic."
point_in_time,pit_simple_1,template,100.0,8,1.00,1,False,"docked with ISS happened on May 31, 2020."
point_in_time,pit_complex_2,template,76.5,13,1.00,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,63.5,13,0.91,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,67.8,12,0.94,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,64.9,11,0.92,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,57.0,13,0.86,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,74.8,12,1.00,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_narr_1,template,84.9,9,1.00,3,False,"It was October 21, 1879 when tested light bulb."
point_in_time,pit_complex_2,template,49.5,11,0.80,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,94.3,9,1.00,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,70.0,13,0.96,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,64.9,11,0.92,1,False,The event known as proposed Hawking radiation took place on 1974.
intervals,int_bracket_3,template,76.5,13,1.00,2,False,"In the 6 years from September 1, 1939 to September 2, 1945, lasted."
intervals,int_simple_2,template,61.2,8,0.89,1,False,occurred ran from 14th century to 17th century.
intervals,int_simple_1,template,100.0,6,1.00,1,False,spanned lasted from 1890 to 1934.
intervals,int_bracket_3,template,83.0,13,1.00,1,False,"In the 42 years from March 12, 1947 to December 3, 1989, persisted."
intervals,int_simple_2,template,100.0,6,1.00,1,False,defined ran from 1837 to 1901.
intervals,int_simple_2,template,100.0,6,1.00,1,False,transformed ran from 1760 to 1840.
intervals,int_simple_1,template,100.0,6,1.00,2,False,shaped lasted from 1685 to 1815.
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 11 years from 1961 to 1972, operated."
intervals,int_bracket_3,template,86.7,10,1.00,1,False,"In the 5 years from 1995 to 2000, characterized tech."
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 10 years from 1929 to 1939, devastated."
intervals,int_bracket_3,template,53.7,12,0.83,2,False,"In the 1000 years from 5th century to 15th century, dominated Europe."
intervals,int_simple_2,template,100.0,8,1.00,1,False,flourished ran from 3100 BCE to 30 BCE.
intervals,int_simple_2,template,100.0,8,1.00,1,False,governed ran from 27 BCE to 476 CE.
intervals,int_simple_2,template,100.0,8,1.00,1,False,endured ran from 330 CE to 1453 CE.
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 600 years from 8th century to 14th century, flourished."
intervals,int_bracket_3,template,94.3,9,1.00,1,False,"In the 273 years from 793 to 1066, influenced."
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 300 years from 14th century to 17th century, transformed."
intervals,int_bracket_3,template,94.3,9,1.00,2,False,"In the 356 years from 1478 to 1834, persisted."
intervals,int_bracket_3,template,49.5,11,0.80,2,False,"In the 200 years from 16th century to 18th century, revolutionized."
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 9 years from 1920 to 1929, characterized."
sequences,seq_way_1,template,50.3,18,0.80,2,False,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,seq_way_1,template,66.7,17,0.93,2,False,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
sequences,seq_way_1,template,76.7,17,1.00,2,False,The way it went was this: Ancient Egypt thrived. Then Roman Empire rose. Then Middle Ages began.
sequences,seq_way_1,template,57.1,14,0.86,2,False,The way it went was this: Internet invented. Then Web created. Then Browsers commercialized.
sequences,seq_way_1,template,63.1,14,0.90,2,False,The way it went was this: COVID-19 emerges. Then Lockdowns implemented. Then Vaccines developed.
sequences,seq_way_1,template,42.8,16,0.74,4,False,The way it went was this: Industrial Revolution began. Then Steam engine perfected. Then Factories m
sequences,seq_way_1,template,77.7,15,1.00,2,False,The way it went was this: French Revolution erupted. Then Bastille stormed. Then Rights declared.
sequences,seq_way_1,template,53.4,16,0.83,2,False,The way it went was this: Civil War started. Then Battle of Gettysburg. Then Emancipation Proclamati
sequences,seq_count_1,template,94.2,18,1.00,2,False,5 steps in all. First World War I began. Then Trench warfare dominated. Last US joined the war.
sequences,seq_way_1,template,83.2,18,1.00,2,False,The way it went was this: Nazi Party rose. Then Hitler became Chancellor. Then World War II began.
sequences,seq_way_1,template,48.1,16,0.78,2,False,The way it went was this: Heliocentric theory proposed. Then Planetary laws discovered. Then Telesco
sequences,seq_way_1,template,49.5,15,0.80,2,False,The way it went was this: Atoms proposed. Then Atomic structure discovered. Then Electrons identifie
sequences,seq_way_1,polished,60.6,53,0.70,1155,False,"Here is the revised version with a high Flesch Reading Ease score:

First, people proposed the idea "
sequences,seq_way_1,polished,58.7,32,0.70,783,False,"It went like this: First, people proposed germ theory. Then, they found bacteria. Next, they started"
sequences,seq_in_1,polished,50.6,39,0.49,918,False,"In 49 years, many things happened. First, people found radioactivity in 1896. Then, they isolated ra"
sequences,seq_way_1,template,43.8,15,0.75,2,False,The way it went was this: Telegraph invented. Then Telegraph networks expanded. Then Telephone inven
sequences,seq_way_1,template,51.8,17,0.81,2,False,The way it went was this: First computers built. Then Programming languages developed. Then Personal
sequences,seq_way_1,polished,56.5,43,0.70,710,False,"Here is the revised version for better readability:

First, photography was created in 1839.  
Next,"
sequences,seq_way_1,template,50.3,18,0.80,3,False,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,seq_way_1,template,66.7,17,0.93,2,False,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
causality,caus_bare_2,polished,57.1,13,0.65,768,False,Archduke Franz Ferdinand was killed. This led Austria-Hungary to declare war on Serbia.
causality,caus_bare_2,template,77.1,16,1.00,3,False,"Stock market crash on October 29, 1929. This made it so: Great Depression lasted throughout 1930s."
causality,caus_bare_2,polished,76.6,25,0.70,713,False,"The printing press was invented around 1440. 

This helped knowledge spread faster. 

It was possibl"
causality,caus_bare_2,polished,51.0,28,0.43,559,False,Penicillin was found in 1928. It changed healthcare a lot. Doctors started to use antibiotics. These
causality,caus_bare_2,polished,43.6,24,0.70,613,False,"The Russian Revolution happened in 1917. After this, the Soviet Union became a superpower. The revol"
causality,caus_bare_2,polished,62.4,29,0.39,672,False,The Industrial Revolution happened in the 18th century. It caused more people to move to cities. Man
causality,caus_bare_2,polished,70.6,20,0.54,558,False,The steam engine was invented. This changed transportation and making things. It used mechanical pow
causality,caus_bare_2,template,75.1,15,1.00,2,False,Berlin Wall fell in 1989. This made it so: Cold War ended and Germany reunified.
causality,caus_bare_2,template,63.9,15,0.91,2,False,Climate change from greenhouse emissions. This made it so: Rising sea levels threaten coastal region
causality,caus_bare_2,polished,81.6,17,0.71,506,False,The Internet was invented. It made it easy to talk and trade. Global change now happens fast.
causality,caus_bare_2,template,61.2,16,0.89,2,False,Treaty of Versailles imposed on Germany. This made it so: Nazi Party rise fueled by resentment.
causality,caus_bare_2,polished,15.6,10,0.43,510,False,British taxed the American colonies. This caused the American Revolution.
causality,caus_bare_2,polished,75.1,30,0.69,603,False,"The French king's tough rule and money problems caused big issues.  
These led to the French Revolut"
causality,caus_due_1,template,54.7,14,0.84,2,False,Alliance system pulled powers into World War I. This was due to Archduke assassinated.
causality,caus_bare_2,template,63.6,13,0.91,2,False,Nazi expansionist policies. This made it so: World War II triggered in Europe.
causality,caus_bare_2,polished,52.9,35,0.60,550,False,Scientists saw how traits are inherited. This led to better ideas about how animals and plants chang
causality,caus_bare_2,polished,72.8,14,0.64,482,False,Röntgen found X-rays in 1895. This helped medical images change how doctors find problems.
causality,caus_bare_2,polished,66.8,26,0.43,776,False,Einstein created the theory of relativity. This changed how we see the world. It made physics much b
causality,caus_bare_2,template,59.7,12,0.88,2,False,Transistor developed in 1947. This made it so: Modern computer age began.
causality,caus_bare_2,polished,49.5,15,0.47,731,False,"Scientists made synthetic insulin. This helped people with diabetes. Now, treatment is easy to get."
overlaps,ov_same_1,template,83.0,13,1.00,2,False,All 3 at once: Korean War and Cold War and Nuclear arms race.
overlaps,ov_during_1,polished,72.3,31,0.65,597,False,"In the late 1500s and early 1600s, many events happened at once.  
Shakespeare wrote plays.  
The Gl"
overlaps,ov_same_1,template,52.3,18,0.82,2,False,All 4 at once: Apollo 11 mission and Vietnam War and Civil Rights Movement and Computer Age beginnin
overlaps,ov_same_1,template,45.3,17,0.76,2,False,All 4 at once: COVID-19 pandemic and Remote work mainstream and Digital transformation and Supply ch
overlaps,ov_same_1,polished,64.4,41,0.48,714,False,"All four events happen at once.  
These are the Renaissance in Italy, the Age of Exploration, the Pr"
overlaps,ov_same_1,template,42.5,16,0.74,2,False,All 4 at once: Berlin Blockade and NATO formation and Israel established and Korean War started.
overlaps,ov_during_1,polished,59.6,41,0.52,810,False,"In the late 1700s, four big events happened. Britain had the Industrial Revolution. The American Rev"
overlaps,ov_same_1,template,58.4,16,0.87,2,False,All 4 at once: Dot-com boom and Mobile computing rise and Broadband expansion and E-commerce emerged
overlaps,ov_same_1,polished,69.1,36,0.49,649,False,All four events happen at once. The Middle Ages end. The Renaissance begins. Feudalism fades away. H
overlaps,ov_during_1,polished,56.2,36,0.48,805,False,"In the late 1700s, many big changes happened at once. The Age of Enlightenment was in full swing. Th"
overlaps,ov_same_1,polished,60.3,37,0.53,740,False,"All four events happened at the same time. The Victorian Era, the Industrial Revolution, the peak of"
overlaps,ov_same_1,polished,77.9,26,0.52,543,False,All four events happened at the same time. The Belle Époque flourished. Society was changing fast. C
overlaps,ov_same_1,template,41.6,14,0.73,2,False,All 4 at once: Roaring Twenties and Jazz Age and Prohibition and Economic prosperity.
overlaps,ov_same_1,template,72.3,20,0.98,2,False,All 4 at once: World War II in Europe and World War II in Pacific and Holocaust and Science research
overlaps,ov_same_1,template,63.7,16,0.91,3,False,All 4 at once: Vietnam War and Space Race and Civil Rights Movement and Counterculture movement.
overlaps,ov_same_1,template,24.1,18,0.59,1020,False,All 4 at once: Berlin Wall fell and Soviet communism collapsed and Germany reunified and Eastern Eur
overlaps,ov_same_1,template,42.5,16,0.74,2,False,All 4 at once: Internet rise and Mobile phones developed and Digital revolution and E-commerce emerg
overlaps,ov_same_1,polished,63.5,27,0.69,609,False,"In 2001, four things happened at once. The September 11 attacks took place. The U.S. started the War"
overlaps,ov_during_1,polished,60.1,38,0.36,791,False,"In the late 1700s and early 1800s, many big events happened at once. The Romantic movement grew. The"
overlaps,ov_same_1,polished,72.6,41,0.65,816,False,"All four styles appeared at the same time.  
They are Modernism, Cubism, Surrealism, and Expressioni"
