type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_complex_2,template,90.1,15,0.92,1,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.88,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as walked on the Moon took place on July 20, 1969."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_complex_2,template,100.0,13,0.90,1,False,"The event known as docked with ISS took place on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.82,2,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.88,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as proposed Hawking radiation took place on 1974.
point_in_time,pit_complex_2,template,95.2,10,0.85,1,False,The event known as developed CRISPR took place on 2012.
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as released Linux kernel took place on September 17, 1991."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as crowned himself Emperor took place on December 2, 1804."
point_in_time,pit_complex_2,polished,45.4,18,0.74,907,False,"The Emancipation Proclamation was issued by Abraham Lincoln on January 1, 1863, in Washington, D.C.,"
point_in_time,pit_complex_2,template,74.2,14,0.90,2,False,"The event known as led India to independence took place on August 15, 1947."
point_in_time,pit_complex_2,template,91.1,14,0.91,2,False,"The event known as became South Africa President took place on May 10, 1994."
point_in_time,pit_complex_2,template,89.1,16,0.94,2,False,"The event known as refused to give up bus seat took place on December 1, 1955."
point_in_time,pit_complex_2,template,89.1,16,0.94,2,False,"The event known as delivered 'I Have a Dream' speech took place on August 28, 1963."
point_in_time,pit_complex_2,template,67.8,12,0.81,1,False,The event known as introduced glasnost and perestroika took place on 1985.
point_in_time,pit_complex_2,template,91.1,14,0.91,2,False,"The event known as became UK Prime Minister took place on May 3, 1979."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as became US President took place on January 20, 2009."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as adopted euro currency took place on January 1, 1999."
point_in_time,pit_complex_2,template,77.2,11,0.86,1,False,The event known as completed Guernica took place on June 1937.
point_in_time,pit_complex_2,template,98.2,14,0.91,1,False,"The event known as released Sgt. Pepper's album took place on June 1, 1967."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as held first Academy Awards took place on May 16, 1929."
point_in_time,pit_complex_2,template,98.5,15,0.92,1,False,"The event known as released 2001: A Space Odyssey took place on April 2, 1968."
point_in_time,pit_complex_2,template,94.2,11,0.86,1,False,The event known as published The Shining took place on 1977.
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as released Ziggy Stardust took place on June 16, 1972."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as began digital preservation took place on 1996.
point_in_time,pit_complex_2,template,74.2,14,0.90,1,False,"The event known as won heavyweight boxing title took place on February 25, 1964."
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was November 19, 1969 when scored 1000th goal."
point_in_time,pit_complex_2,template,90.1,15,0.92,1,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.88,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as walked on the Moon took place on July 20, 1969."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_complex_2,template,100.0,13,0.90,1,False,"The event known as docked with ISS took place on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.88,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as proposed Hawking radiation took place on 1974.
point_in_time,pit_complex_2,template,95.2,10,0.85,1,False,The event known as developed CRISPR took place on 2012.
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as released Linux kernel took place on September 17, 1991."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as crowned himself Emperor took place on December 2, 1804."
point_in_time,pit_complex_2,polished,45.4,18,0.74,1095,False,"The Emancipation Proclamation was issued by Abraham Lincoln on January 1, 1863, in Washington, D.C.,"
point_in_time,pit_complex_2,template,74.2,14,0.90,1,False,"The event known as led India to independence took place on August 15, 1947."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as became South Africa President took place on May 10, 1994."
point_in_time,pit_complex_2,template,89.1,16,0.94,1,False,"The event known as refused to give up bus seat took place on December 1, 1955."
point_in_time,pit_complex_2,template,89.1,16,0.94,1,False,"The event known as delivered 'I Have a Dream' speech took place on August 28, 1963."
point_in_time,pit_complex_2,template,67.8,12,0.81,1,False,The event known as introduced glasnost and perestroika took place on 1985.
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as became UK Prime Minister took place on May 3, 1979."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as became US President took place on January 20, 2009."
