scenario_id,method,complexity_level,latency_ms,tokens_out,cost,quality_proxy
geop_16976,,1,,,,
geop_19058,,1,,,,
tech_44969,,1,,,,
tech_44891,,1,,,,
geop_12172,,1,,,,
hist_fina_42790,,1,,,,
geop_15111,,1,,,,
fina_43719,,1,,,,
cult_9645,,1,,,,
fina_tech_14757,,2,,,,
fina_42065,,1,,,,
tech_48164,,1,,,,
geop_12280,,1,,,,
cult_8534,,1,,,,
fina_4642,,1,,,,
medi_34832,,1,,,,
cult_14019,,1,,,,
tech_48864,,1,,,,
geop_19313,,2,,,,
fina_1965,,1,,,,
scie_tech_28290,,1,,,,
hist_8277,,1,,,,
fina_tech_44897,,1,,,,
fina_39893,,1,,,,
fina_946,,1,,,,
geop_18079,,1,,,,
cult_9615,,1,,,,
hist_5568,,2,,,,
geop_17201,,1,,,,
tech_fina_29567,,1,,,,
tech_48867,,1,,,,
hist_28629,,1,,,,
cult_9143,,1,,,,
geop_16825,,1,,,,
tech_23316,,2,,,,
geop_15339,,1,,,,
medi_31908,,1,,,,
spor_49547,,1,,,,
tech_36039,,1,,,,
tech_36987,,1,,,,
scie_28158,,1,,,,
tech_44016,,1,,,,
hist_23871,,2,,,,
scie_28174,,1,,,,
hist_geop_41914,,1,,,,
hist_20565,,1,,,,
fina_43002,,1,,,,
hist_7692,,1,,,,
fina_22677,,1,,,,
fina_38993,,1,,,,
fina_41595,,1,,,,
geop_17230,,2,,,,
fina_45340,,1,,,,
fina_29390,,1,,,,
scie_36335,,1,,,,
fina_geop_40075,,2,,,,
tech_49107,,1,,,,
cult_8838,,2,,,,
hard_28866,,1,,,,
fina_44416,,1,,,,
tech_47832,,1,,,,
tech_hist_29064,,1,,,,
medi_35137,,1,,,,
geop_11576,,1,,,,
geop_19225,,1,,,,
cult_13280,,1,,,,
geop_11758,,2,,,,
hist_34266,,1,,,,
hist_23350,,1,,,,
geop_16603,,1,,,,
medi_24324,,1,,,,
medi_30118,,2,,,,
geop_17156,,1,,,,
fina_geop_hist_39702,,1,,,,
geop_18362,,2,,,,
hist_25941,,1,,,,
cult_8571,,1,,,,
tech_37848,,1,,,,
medi_32175,,1,,,,
tech_36060,,1,,,,
geop_15432,,1,,,,
hist_37067,,1,,,,
geop_15447,,2,,,,
cult_12745,,1,,,,
fina_46036,,1,,,,
medi_24018,,1,,,,
cult_8592,,1,,,,
fina_4803,,1,,,,
medi_scie_28211,,1,,,,
fina_42739,,1,,,,
hist_tech_41248,,1,,,,
medi_30392,,1,,,,
hist_25543,,1,,,,
hist_143,,1,,,,
tech_47172,,1,,,,
scie_27813,,1,,,,
fina_2832,,1,,,,
fina_tech_14740,,1,,,,
cult_9290,,1,,,,
scie_32645,,1,,,,
tech_45812,,1,,,,
tech_29177,,1,,,,
hist_fina_41941,,1,,,,
geop_16628,,1,,,,
hist_10470,,1,,,,
tech_48107,,1,,,,
tech_27104,,2,,,,
hist_geop_48311,,1,,,,
geop_16469,,1,,,,
spor_49872,,1,,,,
hist_22979,,1,,,,
cult_13308,,1,,,,
tech_46288,,1,,,,
fina_cult_41380,,1,,,,
hist_24563,,1,,,,
hist_geop_34112,,2,,,,
tech_47017,,1,,,,
fina_43107,,1,,,,
cult_8979,,1,,,,
tech_46190,,1,,,,
fina_cult_39571,,1,,,,
geop_15577,,1,,,,
hist_fina_47423,,1,,,,
scie_hist_32535,,1,,,,
cult_13875,,1,,,,
fina_40472,,1,,,,
fina_2790,,2,,,,
fina_geop_38089,,1,,,,
fina_46052,,1,,,,
hist_fina_38767,,1,,,,
fina_2533,,1,,,,
hist_23553,,1,,,,
fina_geop_38230,,1,,,,
hist_47750,,2,,,,
scie_37365,,2,,,,
hist_22372,,1,,,,
geop_11938,,1,,,,
geop_19357,,1,,,,
cult_12641,,1,,,,
cult_10780,,1,,,,
tech_44888,,2,,,,
scie_36405,,1,,,,
hist_7358,,2,,,,
fina_tech_14783,,2,,,,
cult_10967,,1,,,,
fina_4532,,1,,,,
scie_28130,,1,,,,
tech_42234,,1,,,,
fina_geop_39022,,2,,,,
scie_36462,,2,,,,
medi_scie_35619,,1,,,,
tech_hist_45617,,1,,,,
hist_2545,,1,,,,
tech_28815,,1,,,,
hist_22485,,1,,,,
fina_42336,,1,,,,
hist_6073,,2,,,,
medi_34521,,1,,,,
fina_195,,1,,,,
cult_8290,,1,,,,
hist_20357,,1,,,,
hist_7964,,1,,,,
hist_26746,,1,,,,
geop_19762,,1,,,,
geop_17627,,1,,,,
tech_37046,,1,,,,
geop_fina_39162,,1,,,,
tech_45870,,1,,,,
fina_5075,,1,,,,
ecol_30801,,1,,,,
hist_34222,,1,,,,
poli_24034,,1,,,,
fina_2346,,1,,,,
poli_375,,1,,,,
hist_20953,,1,,,,
hist_geop_21941,,1,,,,
cult_10163,,1,,,,
hist_32549,,1,,,,
tech_36699,,1,,,,
medi_34927,,1,,,,
hist_33871,,1,,,,
scie_31085,,1,,,,
cult_14618,,1,,,,
tech_43936,,1,,,,
cult_13581,,1,,,,
geop_19438,,1,,,,
fina_2081,,1,,,,
scie_24656,,1,,,,
scie_32865,,2,,,,
fina_tech_46867,,1,,,,
cult_10295,,1,,,,
tech_48450,,2,,,,
cult_9593,,1,,,,
geop_16930,,1,,,,
scie_27882,,1,,,,
tech_44889,,2,,,,
cult_14102,,1,,,,
geop_16946,,1,,,,
scie_27849,,1,,,,
fina_geop_38556,,1,,,,
geop_15453,,2,,,,
tech_23305,,2,,,,
musi_50721,,1,,,,
geop_16009,,1,,,,
fina_38824,,1,,,,
geop_18835,,1,,,,
medi_28048,,1,,,,
cult_13360,,1,,,,
fina_42049,,1,,,,
hist_22994,,1,,,,
scie_27886,,1,,,,
fina_2498,,2,,,,
civi_20773,,1,,,,
hist_26064,,2,,,,
medi_30197,,1,,,,
hist_5686,,1,,,,
fina_4495,,1,,,,
spor_49753,,1,,,,
tech_2989,,1,,,,
hist_fina_39330,,1,,,,
hist_269,,2,,,,
fina_42877,,1,,,,
musi_50783,,1,,,,
geop_fina_20081,,1,,,,
cult_12480,,1,,,,
tech_29464,,1,,,,
scie_hist_31512,,1,,,,
scie_36362,,1,,,,
hist_21817,,1,,,,
hist_4018,,1,,,,
geop_18971,,1,,,,
medi_34617,,2,,,,
hist_28511,,1,,,,
cult_8978,,1,,,,
cult_9724,,1,,,,
hist_tech_3448,,1,,,,
hist_7336,,1,,,,
hist_scie_24156,,1,,,,
cult_10241,,1,,,,
cult_14305,,1,,,,
hist_20185,,1,,,,
geop_19883,,1,,,,
fina_39554,,2,,,,
hist_25455,,1,,,,
geop_19069,,1,,,,
busi_2188,,1,,,,
hist_22783,,2,,,,
cult_8407,,2,,,,
fina_6532,,1,,,,
hist_tech_23663,,1,,,,
medi_32178,,1,,,,
tech_hist_28964,,2,,,,
fina_geop_38375,,1,,,,
fina_tech_cult_38247,,2,,,,
geop_28465,,1,,,,
fina_2856,,1,,,,
hist_23008,,1,,,,
medi_35077,,1,,,,
geop_19367,,1,,,,
cult_8478,,1,,,,
hist_3223,,1,,,,
hist_21152,,1,,,,
cult_10921,,1,,,,
tech_hist_35757,,1,,,,
fina_geop_48534,,2,,,,
fina_8234,,1,,,,
hist_324,,2,,,,
geop_16262,,1,,,,
tech_44728,,1,,,,
cult_9814,,1,,,,
scie_tech_hist_5878,,1,,,,
scie_31393,,1,,,,
medi_24359,,2,,,,
fina_4612,,2,,,,
fina_22611,,1,,,,
geop_17307,,2,,,,
cult_14009,,1,,,,
hist_3077,,2,,,,
busi_47139,,1,,,,
geop_15586,,1,,,,
fina_43745,,2,,,,
geop_15646,,1,,,,
hist_medi_34081,,2,,,,
spor_50103,,1,,,,
soft_28876,,1,,,,
cult_12783,,1,,,,
medi_37587,,1,,,,
hist_25766,,1,,,,
fina_40692,,1,,,,
hist_3554,,1,,,,
tech_35869,,1,,,,
hist_tech_3405,,1,,,,
hist_7561,,1,,,,
geop_40215,,1,,,,
cult_8990,,1,,,,
medi_34998,,1,,,,
spor_49874,,1,,,,
poli_24300,,1,,,,
medi_34981,,1,,,,
hist_25993,,1,,,,
geop_19631,,1,,,,
cult_9766,,2,,,,
tech_hist_35762,,1,,,,
geop_19523,,1,,,,
geop_17091,,1,,,,
hist_5695,,1,,,,
medi_24426,,1,,,,
hist_tech_3414,,1,,,,
tech_1993,,1,,,,
cult_10947,,1,,,,
tech_fina_47700,,2,,,,
fina_1022,,1,,,,
hist_7023,,1,,,,
hist_34359,,1,,,,
fina_46992,,1,,,,
geop_17780,,1,,,,
tech_5960,,1,,,,
hist_21868,,1,,,,
hist_fina_41137,,1,,,,
scie_27816,,1,,,,
cult_10522,,1,,,,
hist_geop_40793,,2,,,,
tech_44248,,2,,,,
fina_46985,,1,,,,
tech_45989,,1,,,,
geop_19036,,1,,,,
spor_50006,,1,,,,
fina_2674,,1,,,,
hist_7171,,1,,,,
tech_6205,,1,,,,
hist_20218,,1,,,,
hist_26596,,1,,,,
geop_25412,,1,,,,
scie_30889,,1,,,,
hist_25570,,1,,,,
geop_17549,,2,,,,
cult_9887,,1,,,,
cult_9798,,1,,,,
tech_29509,,1,,,,
geop_19724,,1,,,,
hist_241,,2,,,,
medi_34504,,1,,,,
busi_1918,,1,,,,
medi_34890,,1,,,,
geop_16977,,1,,,,
geop_18107,,1,,,,
medi_hist_21757,,1,,,,
cult_14836,,2,,,,
geop_16209,,1,,,,
hist_24577,,1,,,,
scie_27278,,1,,,,
cult_10262,,1,,,,
spor_49996,,1,,,,
scie_31729,,1,,,,
hist_26821,,2,,,,
geop_17136,,1,,,,
medi_30223,,1,,,,
tech_37914,,1,,,,
medi_35184,,1,,,,
medi_30360,,1,,,,
cult_12708,,1,,,,
spor_50286,,1,,,,
hist_24617,,1,,,,
fina_46859,,1,,,,
scie_31208,,1,,,,
cult_12499,,1,,,,
busi_1905,,1,,,,
medi_37564,,1,,,,
fina_2241,,1,,,,
scie_hist_31591,,1,,,,
scie_32826,,1,,,,
geop_11713,,1,,,,
hist_8211,,2,,,,
fina_6743,,1,,,,
hist_361,,1,,,,
fina_38613,,1,,,,
cult_8712,,1,,,,
hist_20140,,1,,,,
hist_5287,,1,,,,
hist_32574,,1,,,,
medi_37449,,1,,,,
hist_geop_34180,,1,,,,
fina_47552,,1,,,,
hist_3631,,1,,,,
cult_14045,,1,,,,
tech_fina_46289,,1,,,,
tech_48907,,1,,,,
fina_42595,,1,,,,
fina_45365,,2,,,,
scie_28084,,1,,,,
busi_1771,,1,,,,
medi_34853,,1,,,,
hist_1444,,1,,,,
tech_50982,,1,,,,
cult_44699,,1,,,,
cult_9399,,1,,,,
geop_19542,,1,,,,
fina_40616,,1,,,,
cult_10076,,1,,,,
fina_42680,,1,,,,
hist_3512,,2,,,,
tech_48030,,1,,,,
scie_32819,,1,,,,
medi_28052,,1,,,,
tech_49267,,1,,,,
geop_16871,,1,,,,
cult_14793,,2,,,,
medi_31889,,1,,,,
hist_1410,,1,,,,
hist_geop_39869,,2,,,,
tech_6157,,1,,,,
hist_15971,,2,,,,
civi_20733,,1,,,,
medi_hist_34768,,2,,,,
scie_33038,,1,,,,
fina_629,,1,,,,
medi_37458,,1,,,,
tech_29457,,1,,,,
spor_49860,,1,,,,
hist_22280,,1,,,,
fina_42851,,1,,,,
