type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_narr_1,template,80.3,11,1.00,864,False,"It was December 10, 1903 when won Nobel Prize in Physics."
point_in_time,pit_complex_2,template,63.5,13,0.91,2,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,67.8,12,0.94,2,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_simple_3,template,100.0,8,1.00,2,False,"On July 20, 1969, walked on the Moon."
point_in_time,pit_complex_2,template,50.5,13,0.80,3,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_narr_1,template,93.0,8,1.00,2,False,"It was March 12, 1989 when was invented."
point_in_time,pit_narr_1,template,86.7,10,1.00,1,False,"It was November 9, 1989 when fell, ending Cold War."
point_in_time,pit_narr_1,template,84.9,9,1.00,1,False,"It was March 11, 2020 when declared COVID-19 pandemic."
point_in_time,pit_simple_1,template,100.0,8,1.00,1,False,"docked with ISS happened on May 31, 2020."
point_in_time,pit_complex_2,template,76.5,13,1.00,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,63.5,13,0.91,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,67.8,12,0.94,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,64.9,11,0.92,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,57.0,13,0.86,2,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,74.8,12,1.00,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_narr_1,template,84.9,9,1.00,1,False,"It was October 21, 1879 when tested light bulb."
point_in_time,pit_complex_2,template,49.5,11,0.80,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,94.3,9,1.00,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,70.0,13,0.96,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,64.9,11,0.92,1,False,The event known as proposed Hawking radiation took place on 1974.
intervals,int_bracket_3,template,76.5,13,1.00,2,False,"In the 6 years from September 1, 1939 to September 2, 1945, lasted."
intervals,int_simple_2,template,61.2,8,0.89,2,False,occurred ran from 14th century to 17th century.
intervals,int_simple_1,template,100.0,6,1.00,1,False,spanned lasted from 1890 to 1934.
intervals,int_bracket_3,template,83.0,13,1.00,1,False,"In the 42 years from March 12, 1947 to December 3, 1989, persisted."
intervals,int_simple_2,template,100.0,6,1.00,1,False,defined ran from 1837 to 1901.
intervals,int_simple_2,template,100.0,6,1.00,1,False,transformed ran from 1760 to 1840.
intervals,int_simple_1,template,100.0,6,1.00,1,False,shaped lasted from 1685 to 1815.
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 11 years from 1961 to 1972, operated."
intervals,int_bracket_3,template,86.7,10,1.00,2,False,"In the 5 years from 1995 to 2000, characterized tech."
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 10 years from 1929 to 1939, devastated."
intervals,int_bracket_3,template,53.7,12,0.83,1,False,"In the 1000 years from 5th century to 15th century, dominated Europe."
intervals,int_simple_2,template,100.0,8,1.00,1,False,flourished ran from 3100 BCE to 30 BCE.
intervals,int_simple_2,template,100.0,8,1.00,1,False,governed ran from 27 BCE to 476 CE.
intervals,int_simple_2,template,100.0,8,1.00,1,False,endured ran from 330 CE to 1453 CE.
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 600 years from 8th century to 14th century, flourished."
intervals,int_bracket_3,template,94.3,9,1.00,1,False,"In the 273 years from 793 to 1066, influenced."
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 300 years from 14th century to 17th century, transformed."
intervals,int_bracket_3,template,94.3,9,1.00,1,False,"In the 356 years from 1478 to 1834, persisted."
intervals,int_bracket_3,template,49.5,11,0.80,2,False,"In the 200 years from 16th century to 18th century, revolutionized."
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 9 years from 1920 to 1929, characterized."
sequences,seq_way_1,template,43.6,22,0.75,3,True,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,seq_way_1,template,66.7,22,0.93,3,True,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
sequences,seq_way_1,template,78.2,22,1.00,3,True,The way it went was this: Ancient Egypt thrived. Then Roman Empire rose. Then Middle Ages began. Key
sequences,seq_way_1,template,51.9,18,0.81,2,True,The way it went was this: Internet invented. Then Web created. Then Browsers commercialized. Key fac
sequences,seq_way_1,template,66.0,18,0.93,3,True,The way it went was this: COVID-19 emerges. Then Lockdowns implemented. Then Vaccines developed. Key
sequences,seq_way_1,template,32.3,21,0.66,3,True,The way it went was this: Industrial Revolution began. Then Steam engine perfected. Then Factories m
sequences,seq_way_1,template,66.4,20,0.93,3,True,The way it went was this: French Revolution erupted. Then Bastille stormed. Then Rights declared. Ke
sequences,seq_way_1,template,60.5,21,0.88,3,True,The way it went was this: Civil War started. Then Battle of Gettysburg. Then Emancipation Proclamati
sequences,seq_count_1,template,96.2,24,1.00,3,True,5 steps in all. First World War I began. Then Trench warfare dominated. Last US joined the war. Key 
sequences,seq_way_1,template,83.3,23,1.00,3,True,The way it went was this: Nazi Party rose. Then Hitler became Chancellor. Then World War II began. K
sequences,seq_way_1,template,44.4,21,0.76,3,True,The way it went was this: Heliocentric theory proposed. Then Planetary laws discovered. Then Telesco
sequences,seq_way_1,template,55.1,19,0.84,3,True,The way it went was this: Atoms proposed. Then Atomic structure discovered. Then Electrons identifie
sequences,seq_way_1,template,36.3,21,0.69,5,True,The way it went was this: Evolution theory proposed. Then Natural selection identified. Then Fossils
sequences,seq_way_1,template,48.4,21,0.79,3,True,The way it went was this: Germ theory proposed. Then Bacteria identified. Then Antiseptic practices 
sequences,seq_in_1,template,0.0,20,0.39,3,True,"In 49 years, this is what happened: Radioactivity discovered. Then Radium isolated. Then Atomic ener"
sequences,seq_way_1,template,41.7,19,0.73,3,True,The way it went was this: Telegraph invented. Then Telegraph networks expanded. Then Telephone inven
