type,source,overall_accuracy,date,entity,relation,hallucinated,hallucination_type,output
point_in_time,template,0.4444,1.0000,0.3333,0.0000,True,entity,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,template,0.8000,1.0000,0.4000,1.0000,True,entity,"The event known as declared independence took place on July 4, 1776."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,"On July 20, 1969, walked on the Moon."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as was invented took place on March 12, 1989."
point_in_time,template,0.8333,1.0000,0.5000,1.0000,True,entity,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"docked with ISS happened on May 31, 2020."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as captured first images took place on July 12, 2022."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,The event known as began chimpanzee study took place on July 1960.
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,The event known as formulated gravity law took place on 1687.
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,"The event known as patented telephone took place on March 10, 1876."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,The event known as transmitted wireless electricity took place on 1891.
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,fabricated,"It was May 2, 1952 when captured Photo 51."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,The event known as proposed Hawking radiation took place on 1974.
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,The event known as developed CRISPR took place on 2012.
point_in_time,template,0.4444,1.0000,0.3333,0.0000,True,entity,"The event known as released Linux kernel took place on September 17, 1991."
point_in_time,template,0.7600,1.0000,0.2800,1.0000,True,entity,"The event known as crowned himself Emperor took place on December 2, 1804."
point_in_time,template,0.4444,1.0000,0.3333,0.0000,True,entity,"The event known as issued Emancipation Proclamation took place on January 1, 1863."
point_in_time,template,0.5778,1.0000,0.7333,0.0000,True,entity,"The event known as led India to independence took place on August 15, 1947."
point_in_time,template,0.8444,1.0000,0.5333,1.0000,True,entity,"The event known as became South Africa President took place on May 10, 1994."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,"refused to give up bus seat. This happened on December 1, 1955."
point_in_time,template,0.4333,1.0000,0.3000,0.0000,True,entity,"delivered 'I Have a Dream' speech. This happened on August 28, 1963."
