type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_complex_2,template,90.1,15,0.92,2,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.88,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as walked on the Moon took place on July 20, 1969."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_complex_2,template,100.0,13,0.90,1,False,"The event known as docked with ISS took place on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.88,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as proposed Hawking radiation took place on 1974.
point_in_time,pit_complex_2,template,95.2,10,0.85,1,False,The event known as developed CRISPR took place on 2012.
point_in_time,pit_complex_2,template,75.2,13,0.90,2,False,"The event known as released Linux kernel took place on September 17, 1991."
point_in_time,pit_complex_2,template,75.2,13,0.90,2,False,"The event known as crowned himself Emperor took place on December 2, 1804."
point_in_time,pit_complex_2,polished,45.4,18,0.74,1000,False,"The Emancipation Proclamation was issued by Abraham Lincoln on January 1, 1863, in Washington, D.C.,"
point_in_time,pit_complex_2,template,74.2,14,0.90,2,False,"The event known as led India to independence took place on August 15, 1947."
point_in_time,pit_complex_2,template,91.1,14,0.91,4,False,"The event known as became South Africa President took place on May 10, 1994."
point_in_time,pit_complex_2,template,89.1,16,0.94,1,False,"The event known as refused to give up bus seat took place on December 1, 1955."
point_in_time,pit_complex_2,template,89.1,16,0.94,1,False,"The event known as delivered 'I Have a Dream' speech took place on August 28, 1963."
point_in_time,pit_complex_2,template,67.8,12,0.81,1,False,The event known as introduced glasnost and perestroika took place on 1985.
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as became UK Prime Minister took place on May 3, 1979."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as became US President took place on January 20, 2009."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as adopted euro currency took place on January 1, 1999."
point_in_time,pit_complex_2,template,77.2,11,0.86,1,False,The event known as completed Guernica took place on June 1937.
point_in_time,pit_complex_2,template,98.2,14,0.91,1,False,"The event known as released Sgt. Pepper's album took place on June 1, 1967."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as held first Academy Awards took place on May 16, 1929."
point_in_time,pit_complex_2,template,98.5,15,0.92,1,False,"The event known as released 2001: A Space Odyssey took place on April 2, 1968."
point_in_time,pit_complex_2,template,94.2,11,0.86,1,False,The event known as published The Shining took place on 1977.
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as released Ziggy Stardust took place on June 16, 1972."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as began digital preservation took place on 1996.
point_in_time,pit_complex_2,template,74.2,14,0.90,1,False,"The event known as won heavyweight boxing title took place on February 25, 1964."
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was November 19, 1969 when scored 1000th goal."
point_in_time,pit_complex_2,template,90.1,15,0.92,1,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.88,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as walked on the Moon took place on July 20, 1969."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_complex_2,template,100.0,13,0.90,1,False,"The event known as docked with ISS took place on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.88,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as proposed Hawking radiation took place on 1974.
point_in_time,pit_complex_2,template,95.2,10,0.85,1,False,The event known as developed CRISPR took place on 2012.
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as released Linux kernel took place on September 17, 1991."
point_in_time,pit_complex_2,template,75.2,13,0.90,1,False,"The event known as crowned himself Emperor took place on December 2, 1804."
point_in_time,pit_complex_2,polished,45.4,18,0.74,839,False,"The Emancipation Proclamation was issued by Abraham Lincoln on January 1, 1863, in Washington, D.C.,"
point_in_time,pit_complex_2,template,74.2,14,0.90,3,False,"The event known as led India to independence took place on August 15, 1947."
point_in_time,pit_complex_2,template,91.1,14,0.91,4,False,"The event known as became South Africa President took place on May 10, 1994."
point_in_time,pit_complex_2,template,89.1,16,0.94,3,False,"The event known as refused to give up bus seat took place on December 1, 1955."
point_in_time,pit_complex_2,template,89.1,16,0.94,3,False,"The event known as delivered 'I Have a Dream' speech took place on August 28, 1963."
point_in_time,pit_complex_2,template,67.8,12,0.81,2,False,The event known as introduced glasnost and perestroika took place on 1985.
point_in_time,pit_complex_2,template,91.1,14,0.91,2,False,"The event known as became UK Prime Minister took place on May 3, 1979."
point_in_time,pit_complex_2,template,75.2,13,0.90,2,False,"The event known as became US President took place on January 20, 2009."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as adopted euro currency took place on January 1, 1999."
point_in_time,pit_complex_2,template,77.2,11,0.86,1,False,The event known as completed Guernica took place on June 1937.
point_in_time,pit_complex_2,template,98.2,14,0.91,1,False,"The event known as released Sgt. Pepper's album took place on June 1, 1967."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as held first Academy Awards took place on May 16, 1929."
point_in_time,pit_complex_2,template,98.5,15,0.92,1,False,"The event known as released 2001: A Space Odyssey took place on April 2, 1968."
point_in_time,pit_complex_2,template,94.2,11,0.86,1,False,The event known as published The Shining took place on 1977.
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as released Ziggy Stardust took place on June 16, 1972."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as began digital preservation took place on 1996.
point_in_time,pit_complex_2,template,74.2,14,0.90,1,False,"The event known as won heavyweight boxing title took place on February 25, 1964."
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was November 19, 1969 when scored 1000th goal."
point_in_time,pit_complex_2,template,90.1,15,0.92,1,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.88,1,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_complex_2,template,99.6,14,0.91,1,False,"The event known as walked on the Moon took place on July 20, 1969."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.91,1,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_complex_2,template,100.0,13,0.90,1,False,"The event known as docked with ISS took place on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.88,1,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.82,1,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.88,1,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.90,1,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.81,1,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.83,1,False,"It was May 2, 1952 when captured Photo 51."
intervals,int_temporal_1,template,78.2,10,0.85,1,False,"lasted stretched across 6 years (September 1, 1939-September 2, 1945)."
intervals,int_bracket_3,template,68.8,11,0.81,1,False,"In the 3 centuries from 14th century to 17th century, occurred."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 44 years from 1890 to 1934, spanned."
intervals,int_duration_1,template,84.7,12,0.88,1,False,"persisted spanned 42 years, from March 12, 1947 to December 3, 1989."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 63 years from 1837 to 1901, defined."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 80 years from 1760 to 1840, transformed."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 130 years from 1685 to 1815, shaped."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 11 years from 1961 to 1972, operated."
intervals,int_duration_1,template,87.7,9,0.83,1,False,"characterized tech spanned 5 years, from 1995 to 2000."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 10 years from 1929 to 1939, devastated."
intervals,int_duration_1,polished,47.1,24,0.65,1135,False,"The Middle Ages, during which Europe was dominated by various events and changes, lasted approximate"
intervals,int_bracket_3,template,100.0,11,0.86,3,False,"In the 3000 years from 3100 BCE to 30 BCE, flourished."
intervals,int_bracket_3,template,100.0,11,0.86,3,False,"In the 500 years from 27 BCE to 476 CE, governed."
intervals,int_bracket_3,template,100.0,11,0.86,3,False,"In the 1100 years from 330 CE to 1453 CE, endured."
intervals,int_duration_1,template,69.8,10,0.80,3,False,"flourished spanned 600 years, from 8th century to 14th century."
intervals,int_bracket_3,template,96.2,9,0.83,3,False,"In the 273 years from 793 to 1066, influenced."
intervals,int_duration_1,template,69.8,10,0.80,6,False,"transformed spanned 300 years, from 14th century to 17th century."
intervals,int_bracket_3,template,96.2,9,0.83,2,False,"In the 356 years from 1478 to 1834, persisted."
intervals,int_bracket_3,polished,55.2,16,0.65,688,False,"The Scientific Revolution took place over 200 years, from the 16th century to the 18th century."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 9 years from 1920 to 1929, characterized."
intervals,int_bracket_3,template,79.3,9,0.83,1,False,"In the 66 years from 1957 to present, revolutionized."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 30 years from 1942 to 1970s, marked."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 70 years from 1950 to present, transformed."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 30 years from 1990 to present, defined."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 40 years from 1980 to present, reshaped."
intervals,int_duration_1,template,87.7,9,0.83,1,False,"influenced design spanned 20 years, from 1920 to 1940."
intervals,int_duration_1,template,79.3,9,0.83,1,False,"dominated music spanned 9 years, from 1920 to 1929."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 10 years from 1920 to 1930, flourished."
intervals,int_bracket_3,template,100.0,10,0.85,1,False,"In the 50 years from late 1800s to mid-1900s, evolved."
intervals,int_duration_1,template,87.7,9,0.83,1,False,"challenged society spanned 20 years, from 1960s to 1970s."
intervals,int_temporal_1,template,78.2,10,0.85,1,False,"lasted stretched across 6 years (September 1, 1939-September 2, 1945)."
intervals,int_bracket_3,template,68.8,11,0.81,1,False,"In the 3 centuries from 14th century to 17th century, occurred."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 44 years from 1890 to 1934, spanned."
intervals,int_duration_1,template,84.7,12,0.88,1,False,"persisted spanned 42 years, from March 12, 1947 to December 3, 1989."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 63 years from 1837 to 1901, defined."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 80 years from 1760 to 1840, transformed."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 130 years from 1685 to 1815, shaped."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 11 years from 1961 to 1972, operated."
intervals,int_duration_1,template,87.7,9,0.83,1,False,"characterized tech spanned 5 years, from 1995 to 2000."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 10 years from 1929 to 1939, devastated."
intervals,int_duration_1,polished,40.7,22,0.65,912,False,"The Middle Ages, during which Europe was dominated by various events, lasted approximately 1,000 yea"
intervals,int_bracket_3,template,100.0,11,0.86,3,False,"In the 3000 years from 3100 BCE to 30 BCE, flourished."
intervals,int_bracket_3,template,100.0,11,0.86,3,False,"In the 500 years from 27 BCE to 476 CE, governed."
intervals,int_bracket_3,template,100.0,11,0.86,2,False,"In the 1100 years from 330 CE to 1453 CE, endured."
intervals,int_duration_1,template,69.8,10,0.80,2,False,"flourished spanned 600 years, from 8th century to 14th century."
intervals,int_bracket_3,template,96.2,9,0.83,1,False,"In the 273 years from 793 to 1066, influenced."
intervals,int_duration_1,template,69.8,10,0.80,1,False,"transformed spanned 300 years, from 14th century to 17th century."
intervals,int_bracket_3,template,96.2,9,0.83,1,False,"In the 356 years from 1478 to 1834, persisted."
intervals,int_bracket_3,polished,64.7,15,0.65,668,False,"The Scientific Revolution took place over 200 years, from the 16th to the 18th century."
intervals,int_bracket_3,template,87.7,9,0.83,4,False,"In the 9 years from 1920 to 1929, characterized."
intervals,int_bracket_3,template,79.3,9,0.83,4,False,"In the 66 years from 1957 to present, revolutionized."
intervals,int_bracket_3,template,100.0,9,0.83,4,False,"In the 30 years from 1942 to 1970s, marked."
intervals,int_bracket_3,template,100.0,9,0.83,2,False,"In the 70 years from 1950 to present, transformed."
intervals,int_bracket_3,template,100.0,9,0.83,2,False,"In the 30 years from 1990 to present, defined."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 40 years from 1980 to present, reshaped."
intervals,int_duration_1,template,87.7,9,0.83,2,False,"influenced design spanned 20 years, from 1920 to 1940."
intervals,int_duration_1,template,79.3,9,0.83,2,False,"dominated music spanned 9 years, from 1920 to 1929."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 10 years from 1920 to 1930, flourished."
intervals,int_bracket_3,template,100.0,10,0.85,2,False,"In the 50 years from late 1800s to mid-1900s, evolved."
intervals,int_duration_1,template,87.7,9,0.83,1,False,"challenged society spanned 20 years, from 1960s to 1970s."
intervals,int_temporal_1,template,78.2,10,0.85,1,False,"lasted stretched across 6 years (September 1, 1939-September 2, 1945)."
intervals,int_bracket_3,template,68.8,11,0.81,1,False,"In the 3 centuries from 14th century to 17th century, occurred."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 44 years from 1890 to 1934, spanned."
intervals,int_duration_1,template,84.7,12,0.88,1,False,"persisted spanned 42 years, from March 12, 1947 to December 3, 1989."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 63 years from 1837 to 1901, defined."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 80 years from 1760 to 1840, transformed."
intervals,int_bracket_3,template,100.0,9,0.83,1,False,"In the 130 years from 1685 to 1815, shaped."
intervals,int_bracket_3,template,87.7,9,0.83,1,False,"In the 11 years from 1961 to 1972, operated."
