template_type,template_id,flesch_score,word_count,success,rendered_output
intervals,int_context_3,0.0,5,True,revolutionized marked the period 1957-present.
intervals,int_context_3,0.0,5,True,revolutionized marked the period 1957-present.
intervals,int_context_3,0.0,5,True,revolutionized marked the period 1957-present.
sequences,seq_bare_1,0.0,14,True,Archduke assassinated. Ultimatum issued to Serbia. War declared on Serbia. Key facts: Archduke assassinated.
sequences,seq_bare_1,0.0,10,True,COVID-19 emerges. Lockdowns implemented. Vaccines developed. Key facts: COVID-19 emerges.
sequences,seq_bare_1,0.0,13,True,Industrial Revolution began. Steam engine perfected. Factories mechanized. Key facts: Industrial Revolution began.
sequences,seq_bare_2,0.0,15,True,Industrial Revolution began. Then Steam engine perfected. Then Factories mechanized. Key facts: Industrial Revolution began.
sequences,seq_list_1,0.0,22,True,"The events were: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_event_1,0.0,21,True,"Main events: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_this_1,0.0,23,True,"This happened, in order: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_all_1,0.0,22,True,"All 5 events: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_flow_1,0.0,19,True,"Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated. Then Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_end_1,0.0,20,True,"Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated — then Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_bare_1,0.0,13,True,Heliocentric theory proposed. Planetary laws discovered. Telescopes improved. Key facts: Heliocentric theory proposed.
sequences,seq_list_1,0.0,23,True,"The events were: Heliocentric theory proposed, Planetary laws discovered, Telescopes improved, Gravity theory formulated, and Newtonian physics established. Key facts: Heliocentric theory proposed."
sequences,seq_event_1,0.0,22,True,"Main events: Heliocentric theory proposed, Planetary laws discovered, Telescopes improved, Gravity theory formulated, and Newtonian physics established. Key facts: Heliocentric theory proposed."
sequences,seq_this_1,0.0,24,True,"This happened, in order: Heliocentric theory proposed, Planetary laws discovered, Telescopes improved, Gravity theory formulated, and Newtonian physics established. Key facts: Heliocentric theory proposed."
sequences,seq_flow_1,0.0,20,True,"Heliocentric theory proposed, Planetary laws discovered, Telescopes improved, Gravity theory formulated. Then Newtonian physics established. Key facts: Heliocentric theory proposed."
sequences,seq_end_1,0.0,21,True,"Heliocentric theory proposed, Planetary laws discovered, Telescopes improved, Gravity theory formulated — then Newtonian physics established. Key facts: Heliocentric theory proposed."
sequences,seq_bare_1,0.0,11,True,Atoms proposed. Atomic structure discovered. Electrons identified. Key facts: Atoms proposed.
sequences,seq_list_1,0.0,20,True,"The events were: Atoms proposed, Atomic structure discovered, Electrons identified, Nucleus found, and Quantum mechanics developed. Key facts: Atoms proposed."
sequences,seq_event_1,0.0,19,True,"Main events: Atoms proposed, Atomic structure discovered, Electrons identified, Nucleus found, and Quantum mechanics developed. Key facts: Atoms proposed."
sequences,seq_this_1,0.0,21,True,"This happened, in order: Atoms proposed, Atomic structure discovered, Electrons identified, Nucleus found, and Quantum mechanics developed. Key facts: Atoms proposed."
sequences,seq_flow_1,0.0,17,True,"Atoms proposed, Atomic structure discovered, Electrons identified, Nucleus found. Then Quantum mechanics developed. Key facts: Atoms proposed."
sequences,seq_bare_1,0.0,13,True,Evolution theory proposed. Natural selection identified. Fossils connected. Key facts: Evolution theory proposed.
sequences,seq_list_1,0.0,22,True,"The events were: Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered, and DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_event_1,0.0,21,True,"Main events: Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered, and DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_this_1,0.0,23,True,"This happened, in order: Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered, and DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_all_1,0.0,22,True,"All 5 events: Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered, and DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_flow_1,0.0,19,True,"Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered. Then DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_end_1,0.0,20,True,"Evolution theory proposed, Natural selection identified, Fossils connected, Genetics discovered — then DNA structure revealed. Key facts: Evolution theory proposed."
sequences,seq_list_1,0.0,21,True,"The events were: Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered, and Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_event_1,0.0,20,True,"Main events: Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered, and Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_this_1,0.0,22,True,"This happened, in order: Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered, and Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_all_1,0.0,21,True,"All 5 events: Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered, and Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_flow_1,0.0,18,True,"Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered. Then Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_end_1,0.0,19,True,"Germ theory proposed, Bacteria identified, Antiseptic practices introduced, Antibiotics discovered — then Vaccines developed. Key facts: Germ theory proposed."
sequences,seq_bare_1,0.0,11,True,Radioactivity discovered. Radium isolated. Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_bare_2,0.0,13,True,Radioactivity discovered. Then Radium isolated. Then Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_bare_3,0.0,14,True,First Radioactivity discovered. Then Radium isolated. Then Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_bare_4,0.0,15,True,Radioactivity discovered. And then Radium isolated. And then Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_list_1,0.0,21,True,"The events were: Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved, and Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_first_1,0.0,14,True,First: Radioactivity discovered. Next: Radium isolated. Last: Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_one_1,0.0,14,True,One: Radioactivity discovered. Two: Radium isolated. Three: Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_event_1,0.0,20,True,"Main events: Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved, and Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_this_1,0.0,22,True,"This happened, in order: Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved, and Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_all_1,0.0,21,True,"All 5 events: Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved, and Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_flow_1,0.0,18,True,"Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved. Then Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_end_1,0.0,19,True,"Radioactivity discovered, Radium isolated, Atomic energy understood, Nuclear fission achieved — then Atomic bomb created. Key facts: Radioactivity discovered."
sequences,seq_fast_1,0.0,15,True,Fast chain: Radioactivity discovered. Then Radium isolated. Then Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_slow_1,0.0,15,True,Slow chain: Radioactivity discovered. Then Radium isolated. Then Atomic energy understood. Key facts: Radioactivity discovered.
sequences,seq_bare_1,0.0,11,True,Telegraph invented. Telegraph networks expanded. Telephone invented. Key facts: Telegraph invented.
sequences,seq_list_1,0.0,20,True,"The events were: Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began, and Television commercialized. Key facts: Telegraph invented."
sequences,seq_event_1,0.0,19,True,"Main events: Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began, and Television commercialized. Key facts: Telegraph invented."
sequences,seq_this_1,0.0,21,True,"This happened, in order: Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began, and Television commercialized. Key facts: Telegraph invented."
sequences,seq_all_1,0.0,20,True,"All 5 events: Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began, and Television commercialized. Key facts: Telegraph invented."
sequences,seq_flow_1,0.0,17,True,"Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began. Then Television commercialized. Key facts: Telegraph invented."
sequences,seq_end_1,0.0,18,True,"Telegraph invented, Telegraph networks expanded, Telephone invented, Radio broadcasting began — then Television commercialized. Key facts: Telegraph invented."
sequences,seq_list_1,0.0,24,True,"The events were: First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established, and Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_event_1,0.0,23,True,"Main events: First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established, and Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_this_1,0.0,25,True,"This happened, in order: First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established, and Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_all_1,0.0,24,True,"All 5 events: First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established, and Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_flow_1,0.0,21,True,"First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established. Then Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_end_1,0.0,22,True,"First computers built, Programming languages developed, Personal computers emerged, Internet connectivity established — then Mobile computing revolutionized. Key facts: First computers built."
sequences,seq_bare_1,0.0,12,True,Photography invented. Color photography developed. Motion pictures created. Key facts: Photography invented.
sequences,seq_bare_1,0.0,14,True,Archduke assassinated. Ultimatum issued to Serbia. War declared on Serbia. Key facts: Archduke assassinated.
sequences,seq_bare_1,0.0,10,True,COVID-19 emerges. Lockdowns implemented. Vaccines developed. Key facts: COVID-19 emerges.
sequences,seq_bare_1,0.0,13,True,Industrial Revolution began. Steam engine perfected. Factories mechanized. Key facts: Industrial Revolution began.
sequences,seq_bare_2,0.0,15,True,Industrial Revolution began. Then Steam engine perfected. Then Factories mechanized. Key facts: Industrial Revolution began.
sequences,seq_list_1,0.0,22,True,"The events were: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_event_1,0.0,21,True,"Main events: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_this_1,0.0,23,True,"This happened, in order: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_all_1,0.0,22,True,"All 5 events: Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated, and Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_flow_1,0.0,19,True,"Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated. Then Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_end_1,0.0,20,True,"Industrial Revolution began, Steam engine perfected, Factories mechanized, Urbanization accelerated — then Modern economy emerged. Key facts: Industrial Revolution began."
sequences,seq_bare_1,0.0,13,True,Heliocentric theory proposed. Planetary laws discovered. Telescopes improved. Key facts: Heliocentric theory proposed.
