scenario_id,granularity,quality_score,length_chars
geop_16976,seconds,,115
geop_16976,minutes,,115
geop_16976,hours,,115
geop_16976,days,,115
geop_16976,months,,115
geop_16976,years,,115
geop_16976,decades,,115
geop_19058,seconds,,99
geop_19058,minutes,,99
geop_19058,hours,,99
geop_19058,days,,99
geop_19058,months,,99
geop_19058,years,,99
geop_19058,decades,,99
tech_44969,seconds,,149
tech_44969,minutes,,149
tech_44969,hours,,149
tech_44969,days,,149
tech_44969,months,,149
tech_44969,years,,149
tech_44969,decades,,149
tech_44891,seconds,,155
tech_44891,minutes,,155
tech_44891,hours,,155
tech_44891,days,,155
tech_44891,months,,155
tech_44891,years,,155
tech_44891,decades,,155
geop_12172,seconds,,89
geop_12172,minutes,,89
geop_12172,hours,,89
geop_12172,days,,89
geop_12172,months,,89
geop_12172,years,,89
geop_12172,decades,,89
hist_fina_42790,seconds,,156
hist_fina_42790,minutes,,156
hist_fina_42790,hours,,156
hist_fina_42790,days,,156
hist_fina_42790,months,,156
hist_fina_42790,years,,156
hist_fina_42790,decades,,156
geop_15111,seconds,,47
geop_15111,minutes,,47
geop_15111,hours,,47
geop_15111,days,,47
geop_15111,months,,47
geop_15111,years,,47
geop_15111,decades,,47
fina_43719,seconds,,181
fina_43719,minutes,,181
fina_43719,hours,,181
fina_43719,days,,181
fina_43719,months,,181
fina_43719,years,,181
fina_43719,decades,,181
cult_9645,seconds,,97
cult_9645,minutes,,97
cult_9645,hours,,97
cult_9645,days,,97
cult_9645,months,,97
cult_9645,years,,97
cult_9645,decades,,97
fina_tech_14757,seconds,,177
fina_tech_14757,minutes,,177
fina_tech_14757,hours,,177
fina_tech_14757,days,,177
fina_tech_14757,months,,177
fina_tech_14757,years,,177
fina_tech_14757,decades,,177
fina_42065,seconds,,201
fina_42065,minutes,,201
fina_42065,hours,,201
fina_42065,days,,201
fina_42065,months,,201
fina_42065,years,,201
fina_42065,decades,,201
tech_48164,seconds,,227
tech_48164,minutes,,227
tech_48164,hours,,227
tech_48164,days,,227
tech_48164,months,,227
tech_48164,years,,227
tech_48164,decades,,227
geop_12280,seconds,,67
geop_12280,minutes,,67
geop_12280,hours,,67
geop_12280,days,,67
geop_12280,months,,67
geop_12280,years,,67
geop_12280,decades,,67
cult_8534,seconds,,107
cult_8534,minutes,,107
cult_8534,hours,,107
cult_8534,days,,107
cult_8534,months,,107
cult_8534,years,,107
cult_8534,decades,,107
fina_4642,seconds,,60
fina_4642,minutes,,60
fina_4642,hours,,60
fina_4642,days,,60
fina_4642,months,,60
fina_4642,years,,60
fina_4642,decades,,60
medi_34832,seconds,,170
medi_34832,minutes,,170
medi_34832,hours,,170
medi_34832,days,,170
medi_34832,months,,170
medi_34832,years,,170
medi_34832,decades,,170
cult_14019,seconds,,92
cult_14019,minutes,,92
cult_14019,hours,,92
cult_14019,days,,92
cult_14019,months,,92
cult_14019,years,,92
cult_14019,decades,,92
tech_48864,seconds,,211
tech_48864,minutes,,211
tech_48864,hours,,211
tech_48864,days,,211
tech_48864,months,,211
tech_48864,years,,211
tech_48864,decades,,211
geop_19313,seconds,,133
geop_19313,minutes,,133
geop_19313,hours,,133
geop_19313,days,,133
geop_19313,months,,133
geop_19313,years,,133
geop_19313,decades,,133
fina_1965,seconds,,130
fina_1965,minutes,,130
fina_1965,hours,,130
fina_1965,days,,130
fina_1965,months,,130
fina_1965,years,,130
fina_1965,decades,,130
scie_tech_28290,seconds,,48
scie_tech_28290,minutes,,48
scie_tech_28290,hours,,48
scie_tech_28290,days,,48
scie_tech_28290,months,,48
scie_tech_28290,years,,48
scie_tech_28290,decades,,48
hist_8277,seconds,,99
hist_8277,minutes,,99
hist_8277,hours,,99
hist_8277,days,,99
hist_8277,months,,99
hist_8277,years,,99
hist_8277,decades,,99
fina_tech_44897,seconds,,164
fina_tech_44897,minutes,,164
fina_tech_44897,hours,,164
fina_tech_44897,days,,164
fina_tech_44897,months,,164
fina_tech_44897,years,,164
fina_tech_44897,decades,,164
fina_39893,seconds,,94
fina_39893,minutes,,94
fina_39893,hours,,94
fina_39893,days,,94
fina_39893,months,,94
fina_39893,years,,94
fina_39893,decades,,94
fina_946,seconds,,66
fina_946,minutes,,66
fina_946,hours,,66
fina_946,days,,66
fina_946,months,,66
fina_946,years,,66
fina_946,decades,,66
geop_18079,seconds,,92
geop_18079,minutes,,92
geop_18079,hours,,92
geop_18079,days,,92
geop_18079,months,,92
geop_18079,years,,92
geop_18079,decades,,92
cult_9615,seconds,,109
cult_9615,minutes,,109
cult_9615,hours,,109
cult_9615,days,,109
cult_9615,months,,109
cult_9615,years,,109
cult_9615,decades,,109
hist_5568,seconds,,97
hist_5568,minutes,,97
hist_5568,hours,,97
hist_5568,days,,97
hist_5568,months,,97
hist_5568,years,,97
hist_5568,decades,,97
