type,source,overall_accuracy,date,entity,relation,hallucinated,hallucination_type,output
point_in_time,template,0.4444,1.0000,0.3333,0.0000,True,fabricated,"It was December 10, 1903 when won Nobel Prize in Physics."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,template,0.8000,1.0000,0.4000,1.0000,True,entity,"The event known as declared independence took place on July 4, 1776."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,"On July 20, 1969, walked on the Moon."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,fabricated,"It was March 12, 1989 when was invented."
point_in_time,template,0.8333,1.0000,0.5000,1.0000,True,fabricated,"It was November 9, 1989 when fell, ending Cold War."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,fabricated,"It was March 11, 2020 when declared COVID-19 pandemic."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"docked with ISS happened on May 31, 2020."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as captured first images took place on July 12, 2022."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,The event known as began chimpanzee study took place on July 1960.
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,The event known as formulated gravity law took place on 1687.
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,template,0.4000,1.0000,0.2000,0.0000,True,entity,"The event known as patented telephone took place on March 10, 1876."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,fabricated,"It was October 21, 1879 when tested light bulb."
point_in_time,polished,0.7778,1.0000,0.3333,1.0000,True,entity,"In 1891, Nikola Tesla showed wireless electricity.  
He did this in Colorado Springs.  
This was the"
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,fabricated,"It was May 2, 1952 when captured Photo 51."
point_in_time,template,0.7333,1.0000,0.2000,1.0000,True,entity,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,template,0.7778,1.0000,0.3333,1.0000,True,entity,The event known as proposed Hawking radiation took place on 1974.
intervals,template,0.4000,1.0000,0.2000,0.0000,False,none,"In the 6 years from September 1, 1939 to September 2, 1945, lasted."
intervals,template,0.6667,1.0000,0.0000,1.0000,True,fabricated,occurred ran from 14th century to 17th century.
intervals,template,0.4000,1.0000,0.2000,0.0000,True,fabricated,spanned lasted from 1890 to 1934.
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 42 years from March 12, 1947 to December 3, 1989, persisted."
intervals,template,0.4000,1.0000,0.2000,0.0000,True,relation,defined ran from 1837 to 1901.
intervals,template,0.7333,1.0000,0.2000,1.0000,True,relation,transformed ran from 1760 to 1840.
intervals,template,0.7333,1.0000,0.2000,1.0000,True,fabricated,shaped lasted from 1685 to 1815.
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 11 years from 1961 to 1972, operated."
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 5 years from 1995 to 2000, characterized tech."
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 10 years from 1929 to 1939, devastated."
intervals,template,0.8667,1.0000,0.6000,1.0000,False,none,"In the 1000 years from 5th century to 15th century, dominated Europe."
intervals,template,0.6667,1.0000,0.0000,1.0000,True,relation,flourished ran from 3100 BCE to 30 BCE.
intervals,template,0.6667,1.0000,0.0000,1.0000,True,relation,governed ran from 27 BCE to 476 CE.
intervals,template,0.5444,0.5000,0.1333,1.0000,True,relation,endured ran from 330 CE to 1453 CE.
intervals,template,0.6667,1.0000,0.0000,1.0000,False,none,"In the 600 years from 8th century to 14th century, flourished."
intervals,template,0.7333,1.0000,0.2000,1.0000,True,entity,"In the 273 years from 793 to 1066, influenced."
intervals,template,0.6667,1.0000,0.0000,1.0000,False,none,"In the 300 years from 14th century to 17th century, transformed."
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 356 years from 1478 to 1834, persisted."
intervals,polished,0.7333,1.0000,0.2000,1.0000,False,none,"The Scientific Revolution changed things from the 1500s to the 1700s.  
It lasted for 200 years.  
M"
intervals,template,0.7333,1.0000,0.2000,1.0000,False,none,"In the 9 years from 1920 to 1929, characterized."
sequences,template,0.0857,0.0000,0.2571,0.0000,True,entity,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,template,0.0190,0.0000,0.0571,0.0000,True,entity,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
sequences,template,0.4333,0.2000,0.1000,1.0000,True,entity,The way it went was this: Ancient Egypt thrived. Then Roman Empire rose. Then Middle Ages began.
sequences,template,0.3333,0.0000,0.0000,1.0000,True,entity,The way it went was this: Internet invented. Then Web created. Then Browsers commercialized.
sequences,template,0.3333,0.0000,0.0000,1.0000,True,entity,The way it went was this: COVID-19 emerges. Then Lockdowns implemented. Then Vaccines developed.
sequences,polished,0.5937,0.4000,0.3810,1.0000,True,entity,"The Industrial Revolution started in 1760.  
In 1769, the steam engine was improved.  
Factories the"
sequences,template,0.0667,0.0000,0.2000,0.0000,True,entity,The way it went was this: French Revolution erupted. Then Bastille stormed. Then Rights declared.
sequences,template,0.4167,0.0000,0.2500,1.0000,True,entity,The way it went was this: Civil War started. Then Battle of Gettysburg. Then Emancipation Proclamati
sequences,template,0.4000,0.0000,0.2000,1.0000,True,entity,5 steps in all. First World War I began. Then Trench warfare dominated. Last US joined the war.
sequences,template,0.4167,0.0000,0.2500,1.0000,True,entity,The way it went was this: Nazi Party rose. Then Hitler became Chancellor. Then World War II began.
sequences,template,0.0000,0.0000,0.0000,0.0000,True,entity,The way it went was this: Heliocentric theory proposed. Then Planetary laws discovered. Then Telesco
sequences,polished,0.3333,0.0000,0.0000,1.0000,True,entity,"Atoms were first suggested. Then scientists found out what they looked like. Next, they found electr"
sequences,polished,0.3333,0.0000,0.0000,1.0000,True,entity,"Here is the rewritten text:

First, scientists proposed the theory of evolution.  
Next, they identi"
sequences,polished,0.3333,0.0000,0.0000,1.0000,True,entity,"Here is a version that maximizes the Flesch Reading Ease score:

First, germ theory was proposed in "
sequences,polished,0.0889,0.2000,0.0667,0.0000,True,entity,"In 49 years, many big things happened.  

First, they found radioactivity in 1896.  

Next, they iso"
sequences,polished,0.3333,0.0000,0.0000,1.0000,True,entity,"The story goes like this: First, the telegraph was invented. Then, telegraph networks grew. After th"
sequences,template,0.4000,0.2000,0.0000,1.0000,True,entity,The way it went was this: First computers built. Then Programming languages developed. Then Personal
sequences,polished,0.1100,0.2500,0.0800,0.0000,True,entity,"Here is the revised version:

First, photography was invented in 1839. Next, color photography was d"
sequences,template,0.0857,0.0000,0.2571,0.0000,True,entity,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,template,0.0190,0.0000,0.0571,0.0000,True,entity,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
causality,polished,0.4571,1.0000,0.3714,0.0000,False,none,Archduke Franz Ferdinand was shot. This caused Austria-Hungary to go to war with Serbia.
causality,template,0.8000,1.0000,0.4000,1.0000,True,entity,"Stock market crash on October 29, 1929. This made it so: Great Depression lasted throughout 1930s."
causality,polished,0.7333,1.0000,0.2000,1.0000,True,entity,The printing press was invented around 1440. It helped ideas spread fast. It made books and papers e
causality,polished,0.4000,1.0000,0.2000,0.0000,True,entity,Penicillin was found in 1928. It changed medicine a lot. Antibiotics became common. They treat bacte
causality,polished,0.5111,1.0000,0.5333,0.0000,True,entity,The Russian Revolution happened in 1917. It led to the rise of the Soviet Union. The new government 
causality,polished,0.4000,1.0000,0.2000,0.0000,False,none,The Industrial Revolution took place in the 18th century. It caused more people to move to cities. M
causality,polished,0.6667,1.0000,0.0000,1.0000,False,none,"The steam engine was invented. It helped change how we travel and make things. With it, transportati"
causality,template,0.9111,1.0000,0.7333,1.0000,True,entity,Berlin Wall fell in 1989. This made it so: Cold War ended and Germany reunified.
causality,template,0.3778,1.0000,0.1333,0.0000,True,relation,Climate change from greenhouse emissions. This made it so: Rising sea levels threaten coastal region
causality,polished,0.3333,1.0000,0.0000,0.0000,False,none,"The internet was invented. It changed how people talk and buy things. Now, everyone can share ideas "
causality,template,0.4667,1.0000,0.4000,0.0000,False,none,Treaty of Versailles imposed on Germany. This made it so: Nazi Party rise fueled by resentment.
causality,polished,0.7778,1.0000,0.3333,1.0000,True,fabricated,British taxed the American colonies. This caused the American Revolution.
causality,polished,0.6667,1.0000,0.0000,1.0000,False,none,French kings ruled badly. They spent too much money. This caused a big crisis. The crisis led to the
causality,template,0.4333,1.0000,0.3000,0.0000,True,relation,Alliance system pulled powers into World War I. This was due to Archduke assassinated.
causality,template,0.8667,1.0000,0.6000,1.0000,False,none,Nazi expansionist policies. This made it so: World War II triggered in Europe.
causality,polished,0.3333,1.0000,0.0000,0.0000,True,relation,"Scientists saw how traits pass from parents to kids.  
This made them change the idea of evolution. "
causality,polished,0.7333,1.0000,0.2000,1.0000,True,entity,"X-rays were found by Röntgen in 1895. This changed medicine a lot. Now, doctors can see inside the b"
causality,polished,0.6667,1.0000,0.0000,1.0000,False,none,Einstein created the theory of relativity. This changed how we see the universe. It helped us unders
causality,template,0.8444,1.0000,0.5333,1.0000,True,entity,Transistor developed in 1947. This made it so: Modern computer age began.
causality,polished,0.6667,1.0000,0.0000,1.0000,False,none,"Scientists made synthetic insulin.  
This helped more people get diabetes treatment.  
It was done u"
overlaps,template,0.1200,0.0000,0.3600,0.0000,True,entity,All 3 at once: Korean War and Cold War and Nuclear arms race.
overlaps,polished,0.3333,1.0000,0.0000,0.0000,True,relation,"In the late 1500s and early 1600s, many events happened at once.  
Shakespeare was writing plays.  
"
overlaps,template,0.1905,0.2000,0.3714,0.0000,True,entity,All 4 at once: Apollo 11 mission and Vietnam War and Civil Rights Movement and Computer Age beginnin
overlaps,polished,0.4000,1.0000,0.2000,0.0000,True,relation,"From 2020 to 2023, four things happened at the same time. COVID-19 spread worldwide. Many people sta"
overlaps,polished,0.8159,1.0000,0.4476,1.0000,False,none,"Four events happened at once.  

These are the Renaissance in Italy, the Age of Exploration, the sta"
