participant_id,explanation_id,question_id,question_type,answer,score,response_time_sec,domain,bucket
,geop_16976,geop_16976.q01,mcq,,,,geopolitical,sequence
,geop_16976,geop_16976.q02,fill_blank,,,,geopolitical,sequence
,geop_16976,geop_16976.q03,timeline,,,,geopolitical,sequence
,geop_16976,geop_16976.q04,mcq,,,,geopolitical,sequence
,geop_16976,geop_16976.q05,mcq,,,,geopolitical,sequence
,geop_19058,geop_19058.q01,mcq,,,,geopolitical,overlap
,geop_19058,geop_19058.q02,fill_blank,,,,geopolitical,overlap
,geop_19058,geop_19058.q03,mcq,,,,geopolitical,overlap
,geop_19058,geop_19058.q04,mcq,,,,geopolitical,overlap
,geop_19058,geop_19058.q05,mcq,,,,geopolitical,overlap
,tech_44969,tech_44969.q01,mcq,,,,technical,point
,tech_44969,tech_44969.q02,fill_blank,,,,technical,point
,tech_44969,tech_44969.q03,mcq,,,,technical,point
,tech_44969,tech_44969.q04,mcq,,,,technical,point
,tech_44969,tech_44969.q05,mcq,,,,technical,point
,tech_44891,tech_44891.q01,mcq,,,,technical,point
,tech_44891,tech_44891.q02,fill_blank,,,,technical,point
,tech_44891,tech_44891.q03,mcq,,,,technical,point
,tech_44891,tech_44891.q04,mcq,,,,technical,point
,tech_44891,tech_44891.q05,mcq,,,,technical,point
,geop_12172,geop_12172.q01,mcq,,,,geopolitical,point
,geop_12172,geop_12172.q02,fill_blank,,,,geopolitical,point
,geop_12172,geop_12172.q03,mcq,,,,geopolitical,point
,geop_12172,geop_12172.q04,mcq,,,,geopolitical,point
,geop_12172,geop_12172.q05,mcq,,,,geopolitical,point
,hist_fina_42790,hist_fina_42790.q01,fill_blank,,,,"['historical', 'financial']",interval
,hist_fina_42790,hist_fina_42790.q02,mcq,,,,"['historical', 'financial']",interval
,hist_fina_42790,hist_fina_42790.q03,mcq,,,,"['historical', 'financial']",interval
,hist_fina_42790,hist_fina_42790.q04,mcq,,,,"['historical', 'financial']",interval
,hist_fina_42790,hist_fina_42790.q05,mcq,,,,"['historical', 'financial']",interval
,geop_15111,geop_15111.q01,mcq,,,,geopolitical,point
,geop_15111,geop_15111.q02,fill_blank,,,,geopolitical,point
,geop_15111,geop_15111.q03,mcq,,,,geopolitical,point
,geop_15111,geop_15111.q04,mcq,,,,geopolitical,point
,geop_15111,geop_15111.q05,mcq,,,,geopolitical,point
,fina_43719,fina_43719.q01,mcq,,,,financial,point
,fina_43719,fina_43719.q02,fill_blank,,,,financial,point
,fina_43719,fina_43719.q03,mcq,,,,financial,point
,fina_43719,fina_43719.q04,mcq,,,,financial,point
