type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_narr_1,template,80.3,11,1.00,451,False,"It was December 10, 1903 when won Nobel Prize in Physics."
point_in_time,pit_complex_2,template,63.5,13,0.91,0,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,67.8,12,0.94,0,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_simple_3,template,100.0,8,1.00,0,False,"On July 20, 1969, walked on the Moon."
point_in_time,pit_complex_2,template,50.5,13,0.80,0,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_narr_1,template,93.0,8,1.00,0,False,"It was March 12, 1989 when was invented."
point_in_time,pit_narr_1,template,86.7,10,1.00,0,False,"It was November 9, 1989 when fell, ending Cold War."
point_in_time,pit_narr_1,template,84.9,9,1.00,0,False,"It was March 11, 2020 when declared COVID-19 pandemic."
point_in_time,pit_simple_1,template,100.0,8,1.00,0,False,"docked with ISS happened on May 31, 2020."
point_in_time,pit_complex_2,template,76.5,13,1.00,0,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,63.5,13,0.91,0,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,67.8,12,0.94,0,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,64.9,11,0.92,0,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,57.0,13,0.86,0,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,74.8,12,1.00,0,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_narr_1,template,84.9,9,1.00,1,False,"It was October 21, 1879 when tested light bulb."
point_in_time,pit_complex_2,template,49.5,11,0.80,0,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,94.3,9,1.00,0,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,70.0,13,0.96,0,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,64.9,11,0.92,0,False,The event known as proposed Hawking radiation took place on 1974.
intervals,int_bracket_3,template,76.5,13,1.00,1,False,"In the 6 years from September 1, 1939 to September 2, 1945, lasted."
intervals,int_simple_2,template,61.2,8,0.89,0,False,occurred ran from 14th century to 17th century.
intervals,int_simple_1,template,100.0,6,1.00,0,False,spanned lasted from 1890 to 1934.
intervals,int_bracket_3,template,83.0,13,1.00,0,False,"In the 42 years from March 12, 1947 to December 3, 1989, persisted."
intervals,int_simple_2,template,100.0,6,1.00,0,False,defined ran from 1837 to 1901.
intervals,int_simple_2,template,100.0,6,1.00,0,False,transformed ran from 1760 to 1840.
intervals,int_simple_1,template,100.0,6,1.00,0,False,shaped lasted from 1685 to 1815.
intervals,int_bracket_3,template,84.9,9,1.00,0,False,"In the 11 years from 1961 to 1972, operated."
intervals,int_bracket_3,template,86.7,10,1.00,0,False,"In the 5 years from 1995 to 2000, characterized tech."
intervals,int_bracket_3,template,84.9,9,1.00,0,False,"In the 10 years from 1929 to 1939, devastated."
intervals,int_bracket_3,template,53.7,12,0.83,0,False,"In the 1000 years from 5th century to 15th century, dominated Europe."
intervals,int_simple_2,template,100.0,8,1.00,0,False,flourished ran from 3100 BCE to 30 BCE.
intervals,int_simple_2,template,100.0,8,1.00,0,False,governed ran from 27 BCE to 476 CE.
intervals,int_simple_2,template,100.0,8,1.00,1,False,endured ran from 330 CE to 1453 CE.
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 600 years from 8th century to 14th century, flourished."
intervals,int_bracket_3,template,94.3,9,1.00,1,False,"In the 273 years from 793 to 1066, influenced."
intervals,int_bracket_3,template,72.6,11,0.98,1,False,"In the 300 years from 14th century to 17th century, transformed."
intervals,int_bracket_3,template,94.3,9,1.00,0,False,"In the 356 years from 1478 to 1834, persisted."
intervals,int_bracket_3,template,49.5,11,0.80,1,False,"In the 200 years from 16th century to 18th century, revolutionized."
intervals,int_bracket_3,template,84.9,9,1.00,1,False,"In the 9 years from 1920 to 1929, characterized."
sequences,seq_way_1,template,43.3,28,0.55,2,False,The way it went was this: Archduke assassinated. Then Ultimatum issued to Serbia. Then War declared 
sequences,seq_way_1,template,61.7,26,0.69,2,False,The way it went was this: Berlin Wall erected. Then Kennedy visits Berlin. Then Cuban Missile Crisis
sequences,seq_count_1,template,66.1,24,0.93,2,False,5 steps in all. First Ancient Egypt thrived. Then Roman Empire rose. Last Middle Ages began. Key fac
sequences,seq_way_1,template,53.7,21,0.83,1,False,The way it went was this: Internet invented. Then Web created. Then Browsers commercialized. Key fac
sequences,seq_way_1,template,60.5,22,0.88,1,False,The way it went was this: COVID-19 emerges. Then Lockdowns implemented. Then Vaccines developed. Key
sequences,seq_in_1,polished,68.7,58,0.40,1390,False,"Here is a rewritten version of the text, optimized for a high Flesch Reading Ease score:

In 90 year"
sequences,seq_count_1,template,58.7,24,0.87,3,False,5 steps in all. First French Revolution erupted. Then Bastille stormed. Last Rights declared. Key fa
sequences,seq_way_1,template,50.2,24,0.80,4,False,The way it went was this: Civil War started. Then Battle of Gettysburg. Then Emancipation Proclamati
