type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,pit_complex_2,template,90.1,15,0.95,4,False,"The event known as won Nobel Prize in Physics took place on December 10, 1903."
point_in_time,pit_complex_2,template,66.7,13,0.95,7,False,"The event known as published Special Relativity took place on June 30, 1905."
point_in_time,pit_complex_2,template,76.2,12,0.95,6,False,"The event known as declared independence took place on July 4, 1776."
point_in_time,pit_simple_3,template,100.0,8,0.95,2,False,"On July 20, 1969, walked on the Moon."
point_in_time,pit_complex_2,template,66.7,13,0.95,3,False,"The event known as experienced nuclear disaster took place on April 26, 1986."
point_in_time,pit_complex_2,template,93.1,12,0.95,4,False,"The event known as was invented took place on March 12, 1989."
point_in_time,pit_complex_2,template,91.1,14,0.95,7,False,"The event known as fell, ending Cold War took place on November 9, 1989."
point_in_time,pit_complex_2,template,92.1,13,0.95,2,False,"The event known as declared COVID-19 pandemic took place on March 11, 2020."
point_in_time,pit_simple_1,template,100.0,8,0.95,5,False,"docked with ISS happened on May 31, 2020."
point_in_time,pit_complex_2,template,92.1,13,0.95,6,False,"The event known as captured first images took place on July 12, 2022."
point_in_time,pit_complex_2,template,66.7,13,0.95,2,False,"The event known as discovered Mandelbrot set took place on November 1, 1980."
point_in_time,pit_complex_2,template,84.7,12,0.95,2,False,The event known as began chimpanzee study took place on July 1960.
point_in_time,pit_complex_2,template,68.8,11,0.95,2,False,The event known as formulated gravity law took place on 1687.
point_in_time,pit_complex_2,template,66.7,13,0.95,2,False,"The event known as published evolution theory took place on November 24, 1859."
point_in_time,pit_complex_2,template,93.1,12,0.95,2,False,"The event known as patented telephone took place on March 10, 1876."
point_in_time,pit_complex_2,template,92.1,13,0.95,2,False,"The event known as tested light bulb took place on October 21, 1879."
point_in_time,pit_complex_2,template,68.8,11,0.95,2,False,The event known as transmitted wireless electricity took place on 1891.
point_in_time,pit_narr_1,template,96.2,9,0.95,1,False,"It was May 2, 1952 when captured Photo 51."
point_in_time,pit_complex_2,template,92.1,13,0.95,2,False,"The event known as announced polio vaccine took place on April 12, 1955."
point_in_time,pit_complex_2,template,68.8,11,0.95,1,False,The event known as proposed Hawking radiation took place on 1974.
point_in_time,pit_complex_2,template,95.2,10,0.95,1,False,The event known as developed CRISPR took place on 2012.
point_in_time,pit_complex_2,template,75.2,13,0.95,2,False,"The event known as released Linux kernel took place on September 17, 1991."
